"lockdown_duration","c_star_multiplier","loss_base","loss_diim","loss_pca","reduction_diim","reduction_pca","pca_wins","overlap"
65,1.8,55770.098328545,55704.637174752,55704.6075855809,65.4611537930396,65.4907429641025,TRUE,4
65,2,61798.5340435104,61733.0728897174,61733.0433005464,65.4611537930541,65.490742964037,TRUE,4
70,0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,4
70,0.2,8010.87779520065,7945.4166414076,7945.38705223661,65.4611537930487,65.490742964038,TRUE,4
70,0.4,14507.5786965447,14442.1175427517,14442.0879535807,65.4611537930541,65.490742964048,TRUE,4
70,0.6,21004.2795978888,20938.8184440957,20938.7888549248,65.4611537930614,65.4907429640334,TRUE,4
70,0.8,27500.9804992328,27435.5193454398,27435.4897562688,65.4611537930432,65.490742964048,TRUE,4
70,1,33997.6814005769,33932.2202467839,33932.1906576129,65.461153793025,65.4907429640152,TRUE,4
70,1.2,40494.382301921,40428.921148128,40428.8915589569,65.461153793025,65.4907429640589,TRUE,4
70,1.4,46991.0832032651,46925.622049472,46925.592460301,65.4611537930832,65.4907429640662,TRUE,4
70,1.6,53487.7841046091,53422.322950816,53422.293361645,65.4611537930687,65.4907429640662,TRUE,4
70,1.8,59984.4850059532,59919.0238521601,59918.9942629892,65.4611537930323,65.4907429639861,TRUE,4
70,2,66481.1859072973,66415.7247535042,66415.6951643332,65.4611537930468,65.4907429640298,TRUE,4
