"target_share","actual_share","pca_wins","pca_advantage"
0.2,0.2,TRUE,4.52156686882154
0.2,0.2,FALSE,-26.7870943343805
0.2,0.2,TRUE,1.77589778739275
0.2,0.2,FALSE,-0.845983621995401
0.2,0.2,TRUE,2.77526455447878
0.2,0.2,FALSE,-7.51695249141267
0.2,0.2,FALSE,-24.3570529002245
0.2,0.2,FALSE,-20.0923980476655
0.2,0.2,FALSE,-11.5554637657333
0.2,0.2,FALSE,-7.61192714346544
0.2,0.2,TRUE,2.44458616289194
0.2,0.2,TRUE,4.47555410069253
0.2,0.2,FALSE,-17.6494539363594
0.2,0.2,FALSE,-9.87340856632363
0.2,0.2,TRUE,0.401214083387458
0.2,0.2,FALSE,-26.3680895824837
0.2,0.2,FALSE,-6.91133262720177
0.2,0.2,FALSE,-13.5219718779263
0.2,0.2,FALSE,-16.0909670363399
0.2,0.2,FALSE,-2.29865843800144
0.2,0.2,FALSE,-14.8393665846997
0.2,0.2,FALSE,-1.67722706827408
0.2,0.2,TRUE,4.70703096239595
0.2,0.2,FALSE,-10.6635138947859
0.2,0.2,FALSE,-1.12543861565428
0.2,0.2,FALSE,-25.8375205372395
0.21,0.21,FALSE,-20.6423147449932
0.21,0.21,FALSE,-25.7525169238688
0.21,0.21,TRUE,8.90566255048907
0.21,0.21,FALSE,-0.69345446999796
0.21,0.21,FALSE,-7.0616657684659
0.21,0.21,TRUE,21.572871611108
0.21,0.21,TRUE,1.44573456633225
0.21,0.21,FALSE,-9.17938146678352
0.21,0.21,FALSE,-33.1443097142001
0.21,0.21,FALSE,-7.6635724271764
0.21,0.21,TRUE,7.95444065996708
0.21,0.21,FALSE,-7.06382873981784
0.21,0.21,FALSE,-3.55763460423623
0.21,0.21,FALSE,-8.86575887834988
0.21,0.21,FALSE,-7.03072439712923
0.21,0.21,FALSE,-16.3808652676671
0.21,0.21,FALSE,-16.5436437482567
0.21,0.21,TRUE,6.46230385364106
0.21,0.21,TRUE,4.28572987723601
0.21,0.21,FALSE,-21.3714462856733
0.21,0.21,FALSE,-1.19949089103102
0.21,0.21,FALSE,-19.6407915011587
0.21,0.21,FALSE,-13.7155870740753
0.21,0.21,FALSE,-11.3879555542298
0.21,0.21,FALSE,-14.218323728739
0.21,0.21,FALSE,-18.283273816618
0.21,0.21,TRUE,0.80839562665642
0.21,0.21,FALSE,-20.051969894379
0.21,0.21,TRUE,6.90396134155526
0.21,0.21,FALSE,-3.63864575618209
0.21,0.21,FALSE,-14.8203264324366
0.21,0.21,FALSE,-1.7418859012505
0.21,0.21,FALSE,-14.2823465967122
0.21,0.21,FALSE,-12.82683878854
0.21,0.21,FALSE,-14.5138943286838
0.21,0.21,FALSE,-2.97954010863396
0.21,0.21,FALSE,-19.5535411448291
0.21,0.21,FALSE,-4.3236979159301
0.21,0.21,FALSE,-19.5538121423706
0.21,0.21,FALSE,-20.6806954991553
0.21,0.21,TRUE,9.35366275305933
0.21,0.21,FALSE,-7.85819320524388
0.21,0.21,FALSE,-27.2967187803988
0.21,0.21,FALSE,-17.5888655395611
0.21,0.21,FALSE,-13.3282815552448
0.21,0.21,TRUE,0.250009375038644
0.21,0.21,FALSE,-3.22609992566868
0.21,0.21,FALSE,-25.1127927387497
0.21,0.21,TRUE,3.38967004273218
0.21,0.21,FALSE,-20.3911012896315
0.22,0.22,FALSE,-5.52258945790891
0.22,0.22,FALSE,-4.80888508330099
0.22,0.22,FALSE,-14.8656428347749
0.22,0.22,FALSE,-14.5002448226624
0.22,0.22,FALSE,-7.10869280940096
0.22,0.22,FALSE,-18.0644934248703
0.22,0.22,FALSE,-10.0450844541956
0.22,0.22,FALSE,-28.6126796105273
0.22,0.22,FALSE,-9.62682484797187
0.22,0.22,FALSE,-19.668487657018
0.22,0.22,FALSE,-11.8386966672042
0.22,0.22,TRUE,4.43556060340779
0.22,0.22,FALSE,-3.96096526473411
0.22,0.22,TRUE,12.2157422057207
0.22,0.22,TRUE,2.78649607337502
0.22,0.22,FALSE,-19.4176446554666
0.22,0.22,FALSE,-17.949227786663
0.22,0.22,FALSE,-1.91864723318577
0.22,0.22,FALSE,-7.74524120689239
0.22,0.22,FALSE,-9.46756605781775
0.22,0.22,FALSE,-14.4802184148866
0.22,0.22,TRUE,13.4927325498065
0.22,0.22,TRUE,14.1517973769514
0.22,0.22,FALSE,-23.7164800135979
0.22,0.22,TRUE,0.0957279515896516
0.22,0.22,FALSE,-23.1906774485542
0.22,0.22,FALSE,-7.16156780017627
0.22,0.22,FALSE,-11.5126549446868
0.22,0.22,FALSE,-4.63197999950353
0.22,0.22,FALSE,-9.37450720875495
0.22,0.22,TRUE,0.802255327624152
0.22,0.22,FALSE,-33.0009223797824
0.22,0.22,FALSE,-16.0411202417818
0.22,0.22,FALSE,-1.26675209396126
0.22,0.22,FALSE,-0.58811021299698
0.22,0.22,FALSE,-14.2998216067062
0.22,0.22,FALSE,-16.3254913229976
